,registered,number,text,letter,voivodeship,country
45,2004-05-06,B0 ASIA,ASIA,B,podlaskie,Poland
46,2016-05-16,B0 ASIK,ASIK,B,podlaskie,Poland
47,2010-10-21,B0 ATP,ATP,B,podlaskie,Poland
48,2011-03-29,B0 AUDI,AUDI,B,podlaskie,Poland
49,2005-03-24,B0 AUDI6,AUDI6,B,podlaskie,Poland
50,2009-05-25,B0 AUDI7,AUDI7,B,podlaskie,Poland
51,2016-07-13,B0 AWR,AWR,B,podlaskie,Poland
52,2012-08-06,B0 AXAMI,AXAMI,B,podlaskie,Poland
53,2007-06-04,B0 BABCI,BABCI,B,podlaskie,Poland
54,2017-03-21,B0 BABKA,BABKA,B,podlaskie,Poland
55,2010-10-23,B0 BAJER,BAJER,B,podlaskie,Poland
56,2019-05-02,B0 BAJKA,BAJKA,B,podlaskie,Poland
57,2016-09-19,B0 BANAN,BANAN,B,podlaskie,Poland
58,2005-03-05,B0 BASKA,BASKA,B,podlaskie,Poland
59,2017-05-21,B0 BASTA,BASTA,B,podlaskie,Poland
60,2010-01-16,B0 BCAT,BCAT,B,podlaskie,Poland
61,2018-08-21,B0 BEAST,BEAST,B,podlaskie,Poland
62,2004-06-08,B0 BEATA,BEATA,B,podlaskie,Poland
63,2009-10-06,B0 BELLO,BELLO,B,podlaskie,Poland
64,2009-09-16,B0 BENEK,BENEK,B,podlaskie,Poland
65,2016-09-30,B0 BENZ,BENZ,B,podlaskie,Poland
66,2008-05-09,B0 BEREK,BEREK,B,podlaskie,Poland
67,2010-03-31,B0 BEZEL,BEZEL,B,podlaskie,Poland
68,2014-09-04,B0 BFO,BFO,B,podlaskie,Poland
69,2015-03-16,B0 BGT01,BGT01,B,podlaskie,Poland
70,2018-08-28,B0 BIEDA,BIEDA,B,podlaskie,Poland
71,2014-03-25,B0 BIO01,BIO01,B,podlaskie,Poland
72,2016-06-27,B0 BLACK,BLACK,B,podlaskie,Poland
73,2013-07-04,B0 BLESS,BLESS,B,podlaskie,Poland
74,2016-07-16,B0 BLUE7,BLUE7,B,podlaskie,Poland
75,2018-05-28,B0 BLUES,BLUES,B,podlaskie,Poland
76,2016-07-14,B0 BMA01,BMA01,B,podlaskie,Poland
77,2007-07-06,B0 BMW,BMW,B,podlaskie,Poland
78,2017-09-20,B0 BMW3,BMW3,B,podlaskie,Poland
79,2015-09-07,B0 BMW7,BMW7,B,podlaskie,Poland
80,2014-09-04,B0 BMWM5,BMWM5,B,podlaskie,Poland
81,2015-11-02,B0 BMWM6,BMWM6,B,podlaskie,Poland
82,2007-08-27,B0 BMWX5,BMWX5,B,podlaskie,Poland
83,2015-09-01,B0 BMWX6,BMWX6,B,podlaskie,Poland
84,2018-05-02,B0 BOBAS,BOBAS,B,podlaskie,Poland
85,2009-05-04,B0 BOBEK,BOBEK,B,podlaskie,Poland
86,2011-10-03,B0 BOGDA,BOGDA,B,podlaskie,Poland
87,2007-04-22,B0 BOJAR,BOJAR,B,podlaskie,Poland
88,2017-02-17,B0 BONE,BONE,B,podlaskie,Poland
89,2015-06-17,B0 BOOGY,BOOGY,B,podlaskie,Poland
90,2014-08-14,B0 BOOST,BOOST,B,podlaskie,Poland
91,2009-08-11,B0 BOPSS,BOPSS,B,podlaskie,Poland
92,2018-03-13,B0 BOSKI,BOSKI,B,podlaskie,Poland
93,2017-03-13,B0 BPS1,BPS1,B,podlaskie,Poland
94,2006-08-02,B0 BRERA,BRERA,B,podlaskie,Poland
95,2018-08-02,B0 BTC,BTC,B,podlaskie,Poland
96,2016-09-30,B0 BUBA,BUBA,B,podlaskie,Poland
97,2017-02-26,B0 BURY,BURY,B,podlaskie,Poland
98,2018-03-05,B0 BWD,BWD,B,podlaskie,Poland
99,2016-09-08,B0 BX88,BX88,B,podlaskie,Poland
100,2017-11-24,B0 BXL25,BXL25,B,podlaskie,Poland
101,2018-03-09,B0 BZYK,BZYK,B,podlaskie,Poland
102,2015-12-02,B0 CAMRY,CAMRY,B,podlaskie,Poland
103,2011-08-13,B0 CAPRI,CAPRI,B,podlaskie,Poland
104,2014-12-13,B0 CARLA,CARLA,B,podlaskie,Poland
105,2010-03-08,B0 CDI17,CDI17,B,podlaskie,Poland
106,2010-05-30,B0 CEMEX,CEMEX,B,podlaskie,Poland
107,2003-07-19,B0 CEZAR,CEZAR,B,podlaskie,Poland
108,2018-09-03,B0 CGA,CGA,B,podlaskie,Poland
109,2004-12-13,B0 CHATA,CHATA,B,podlaskie,Poland
110,2014-10-06,B0 CHEVY,CHEVY,B,podlaskie,Poland
111,2017-03-21,B0 CHRIS,CHRIS,B,podlaskie,Poland
112,2012-03-21,B0 CHUDY,CHUDY,B,podlaskie,Poland
113,2006-05-08,B0 CHUM,CHUM,B,podlaskie,Poland
114,2018-08-12,B0 CIAN,CIAN,B,podlaskie,Poland
115,2018-06-06,B0 CIAN1,CIAN1,B,podlaskie,Poland
116,2015-07-08,B0 CITY,CITY,B,podlaskie,Poland
117,2016-05-30,B0 CLS,CLS,B,podlaskie,Poland
118,2011-05-31,B0 CNC,CNC,B,podlaskie,Poland
119,2013-07-29,B0 COBRA,COBRA,B,podlaskie,Poland
120,2010-08-14,B0 COLT,COLT,B,podlaskie,Poland
121,2018-08-02,B0 COVER,COVER,B,podlaskie,Poland
122,2019-01-21,B0 CRAZY,CRAZY,B,podlaskie,Poland
123,2015-06-02,B0 CUDAK,CUDAK,B,podlaskie,Poland
124,2016-11-20,B0 CUPRA,CUPRA,B,podlaskie,Poland
125,2011-04-25,B0 CX7,CX7,B,podlaskie,Poland
126,2003-07-28,B0 CYMES,CYMES,B,podlaskie,Poland
127,2019-08-05,B0 DAGA,DAGA,B,podlaskie,Poland
128,2019-02-06,B0 DAILY,DAILY,B,podlaskie,Poland
129,2010-07-14,B0 DALBA,DALBA,B,podlaskie,Poland
130,2008-11-21,B0 DAMA,DAMA,B,podlaskie,Poland
131,2014-02-04,B0 DAMA1,DAMA1,B,podlaskie,Poland
132,2009-06-21,B0 DAREK,DAREK,B,podlaskie,Poland
133,2011-05-28,B0 DARO,DARO,B,podlaskie,Poland
134,2017-06-02,B0 DARO1,DARO1,B,podlaskie,Poland
135,2018-12-17,B0 DARPL,DARPL,B,podlaskie,Poland
136,2008-07-31,B0 DAWCA,DAWCA,B,podlaskie,Poland
137,2017-04-02,B0 DAWID,DAWID,B,podlaskie,Poland
138,2018-01-18,B0 DDD,DDD,B,podlaskie,Poland
139,2015-05-18,B0 DEFRO,DEFRO,B,podlaskie,Poland
140,2018-07-30,B0 DEMON,DEMON,B,podlaskie,Poland
141,2011-04-13,B0 DEVIL,DEVIL,B,podlaskie,Poland
142,2015-03-22,B0 DIMA,DIMA,B,podlaskie,Poland
143,2007-10-29,B0 DIREX,DIREX,B,podlaskie,Poland
144,2015-01-02,B0 DKK,DKK,B,podlaskie,Poland
145,2010-09-30,B0 DMG,DMG,B,podlaskie,Poland
146,2018-05-12,B0 DOKIA,DOKIA,B,podlaskie,Poland
147,2007-07-17,B0 DOLAR,DOLAR,B,podlaskie,Poland
148,2005-09-02,B0 DOMEL,DOMEL,B,podlaskie,Poland
149,2013-03-28,B0 DOTI,DOTI,B,podlaskie,Poland
150,2019-03-04,B0 DR44,DR44,B,podlaskie,Poland
151,2013-06-16,B0 DRACO,DRACO,B,podlaskie,Poland
152,2017-08-22,B0 DREAM,DREAM,B,podlaskie,Poland
153,2013-04-05,B0 DRIFT,DRIFT,B,podlaskie,Poland
154,2019-08-21,B0 DRZWI,DRZWI,B,podlaskie,Poland
155,2012-05-22,B0 DS4,DS4,B,podlaskie,Poland
156,2016-08-24,B0 DUDA,DUDA,B,podlaskie,Poland
157,2016-07-24,B0 E24,E24,B,podlaskie,Poland
158,2015-08-27,B0 EAST,EAST,B,podlaskie,Poland
159,2018-07-16,B0 EBMIA,EBMIA,B,podlaskie,Poland
160,2019-07-16,B0 ECO,ECO,B,podlaskie,Poland
161,2016-05-25,B0 EDMA,EDMA,B,podlaskie,Poland
162,2015-07-20,B0 EDYTA,EDYTA,B,podlaskie,Poland
163,2016-11-25,B0 ELA,ELA,B,podlaskie,Poland
164,2010-07-29,B0 ELA55,ELA55,B,podlaskie,Poland
165,2007-06-01,B0 ELCAR,ELCAR,B,podlaskie,Poland
166,2011-03-04,B0 ELEET,ELEET,B,podlaskie,Poland
167,2016-01-07,B0 ELITE,ELITE,B,podlaskie,Poland
168,2016-12-15,B0 ELMIR,ELMIR,B,podlaskie,Poland
169,2005-05-31,B0 ELZAW,ELZAW,B,podlaskie,Poland
170,2018-09-22,B0 EM1,EM1,B,podlaskie,Poland
171,2018-06-14,B0 EM2,EM2,B,podlaskie,Poland
172,2018-06-26,B0 EM3,EM3,B,podlaskie,Poland
173,2019-03-24,B0 EM4,EM4,B,podlaskie,Poland
174,2018-08-18,B0 EMI,EMI,B,podlaskie,Poland
175,2014-07-09,B0 EMIL,EMIL,B,podlaskie,Poland
176,2013-09-04,B0 EMILA,EMILA,B,podlaskie,Poland
177,2017-05-04,B0 ENDO,ENDO,B,podlaskie,Poland
178,2010-06-18,B0 ENPRO,ENPRO,B,podlaskie,Poland
179,2007-08-04,B0 ENVOY,ENVOY,B,podlaskie,Poland
180,2019-04-19,B0 EURO,EURO,B,podlaskie,Poland
181,2016-05-17,B0 EVO,EVO,B,podlaskie,Poland
182,2012-10-03,B0 EVOX,EVOX,B,podlaskie,Poland
183,2006-03-26,B0 EWA,EWA,B,podlaskie,Poland
184,2017-06-02,B0 EWELA,EWELA,B,podlaskie,Poland
185,2018-08-02,B0 F30,F30,B,podlaskie,Poland
186,2007-11-26,B0 FAJA,FAJA,B,podlaskie,Poland
187,2009-05-14,B0 FALKO,FALKO,B,podlaskie,Poland
188,2008-05-10,B0 FAMAX,FAMAX,B,podlaskie,Poland
189,2007-04-19,B0 FAN,FAN,B,podlaskie,Poland
190,2007-10-28,B0 FANKA,FANKA,B,podlaskie,Poland
191,2006-08-03,B0 FILIP,FILIP,B,podlaskie,Poland
192,2014-02-10,B0 FKU,FKU,B,podlaskie,Poland
193,2012-07-26,B0 FOTO,FOTO,B,podlaskie,Poland
194,2015-04-17,B0 FOX,FOX,B,podlaskie,Poland
195,2006-03-02,B0 FRANC,FRANC,B,podlaskie,Poland
196,2005-03-28,B0 FWZ1,FWZ1,B,podlaskie,Poland
197,2004-09-21,B0 GACZ,GACZ,B,podlaskie,Poland
198,2017-06-26,B0 GALON,GALON,B,podlaskie,Poland
199,2007-12-06,B0 GAMA,GAMA,B,podlaskie,Poland
200,2011-05-31,B0 GATTO,GATTO,B,podlaskie,Poland
201,2008-10-11,B0 GLOB,GLOB,B,podlaskie,Poland
202,2007-10-08,B0 GLOB1,GLOB1,B,podlaskie,Poland
203,2011-04-02,B0 GLOB7,GLOB7,B,podlaskie,Poland
204,2009-07-24,B0 GOLBA,GOLBA,B,podlaskie,Poland
205,2008-07-13,B0 GOLF,GOLF,B,podlaskie,Poland
206,2007-02-28,B0 GOMET,GOMET,B,podlaskie,Poland
207,2014-08-20,B0 GONIA,GONIA,B,podlaskie,Poland
208,2015-10-26,B0 GONTY,GONTY,B,podlaskie,Poland
209,2005-05-19,B0 GOSIA,GOSIA,B,podlaskie,Poland
210,2009-02-10,B0 GOSIK,GOSIK,B,podlaskie,Poland
211,2005-06-24,B0 GOTTI,GOTTI,B,podlaskie,Poland
212,2018-08-27,B0 GRAND,GRAND,B,podlaskie,Poland
213,2016-04-27,B0 GREEN,GREEN,B,podlaskie,Poland
214,2006-06-04,B0 GRUBY,GRUBY,B,podlaskie,Poland
215,2013-08-10,B0 GRZES,GRZES,B,podlaskie,Poland
216,2018-07-18,B0 GT50,GT50,B,podlaskie,Poland
217,2013-04-25,B0 GT86,GT86,B,podlaskie,Poland
218,2018-11-18,B0 GUGNY,GUGNY,B,podlaskie,Poland
219,2006-05-18,B0 HADES,HADES,B,podlaskie,Poland
220,2011-01-27,B0 HALA,HALA,B,podlaskie,Poland
221,2009-09-18,B0 HAPON,HAPON,B,podlaskie,Poland
222,2010-09-11,B0 HAPPY,HAPPY,B,podlaskie,Poland
223,2010-09-08,B0 HAR56,HAR56,B,podlaskie,Poland
224,2014-02-24,B0 HDJ80,HDJ80,B,podlaskie,Poland
225,2019-08-19,B0 HELA,HELA,B,podlaskie,Poland
226,2006-11-10,B0 HENIO,HENIO,B,podlaskie,Poland
227,2018-05-31,B0 HENRY,HENRY,B,podlaskie,Poland
228,2008-09-19,B0 HERMH,HERMH,B,podlaskie,Poland
229,2018-04-14,B0 HIPIS,HIPIS,B,podlaskie,Poland
230,2014-01-10,B0 HOBBY,HOBBY,B,podlaskie,Poland
231,2009-10-12,B0 HOTEL,HOTEL,B,podlaskie,Poland
232,2014-10-06,B0 HRYNA,HRYNA,B,podlaskie,Poland
233,2005-05-17,B0 IBIZA,IBIZA,B,podlaskie,Poland
234,2006-09-19,B0 IGOR,IGOR,B,podlaskie,Poland
235,2019-08-13,B0 II99,II99,B,podlaskie,Poland
236,2014-06-05,B0 III,III,B,podlaskie,Poland
237,2019-05-20,B0 IIIM,IIIM,B,podlaskie,Poland
238,2014-12-16,B0 IIIM3,IIIM3,B,podlaskie,Poland
239,2016-09-10,B0 ILMER,ILMER,B,podlaskie,Poland
240,2016-10-15,B0 IPC,IPC,B,podlaskie,Poland
241,2006-05-12,B0 IPD,IPD,B,podlaskie,Poland
242,2015-06-21,B0 IR77,IR77,B,podlaskie,Poland
243,2010-06-21,B0 IRENA,IRENA,B,podlaskie,Poland
244,2018-03-12,B0 ITAXI,ITAXI,B,podlaskie,Poland
245,2007-09-22,B0 IWA,IWA,B,podlaskie,Poland
246,2008-04-10,B0 IZA,IZA,B,podlaskie,Poland
247,2013-04-26,B0 JACA,JACA,B,podlaskie,Poland
248,2003-02-07,B0 JACEK,JACEK,B,podlaskie,Poland
249,2018-05-23,B0 JACK,JACK,B,podlaskie,Poland
250,2005-02-26,B0 JAGA,JAGA,B,podlaskie,Poland
251,2014-10-27,B0 JAJCO,JAJCO,B,podlaskie,Poland
252,2018-10-02,B0 JAJKO,JAJKO,B,podlaskie,Poland
253,2005-06-05,B0 JAKUB,JAKUB,B,podlaskie,Poland
254,2011-11-06,B0 JAN,JAN,B,podlaskie,Poland
255,2003-02-07,B0 JANEK,JANEK,B,podlaskie,Poland
256,2015-05-21,B0 JAR,JAR,B,podlaskie,Poland
257,2008-05-14,B0 JARO,JARO,B,podlaskie,Poland
258,2009-10-31,B0 JEDRU,JEDRU,B,podlaskie,Poland
259,2011-03-10,B0 JELP,JELP,B,podlaskie,Poland
260,2018-07-30,B0 JMP,JMP,B,podlaskie,Poland
261,2008-10-16,B0 JOKER,JOKER,B,podlaskie,Poland
262,2007-11-05,B0 JOLKA,JOLKA,B,podlaskie,Poland
263,2014-04-15,B0 JULA,JULA,B,podlaskie,Poland
264,2010-08-20,B0 JUNAK,JUNAK,B,podlaskie,Poland
265,2017-09-28,B0 JUSIA,JUSIA,B,podlaskie,Poland
266,2018-05-25,B0 KAFKA,KAFKA,B,podlaskie,Poland
267,2012-03-04,B0 KAJA,KAJA,B,podlaskie,Poland
268,2017-03-19,B0 KAM,KAM,B,podlaskie,Poland
269,2008-10-19,B0 KAMIL,KAMIL,B,podlaskie,Poland
270,2019-07-15,B0 KAMYK,KAMYK,B,podlaskie,Poland
271,2005-11-05,B0 KAROL,KAROL,B,podlaskie,Poland
272,2005-04-16,B0 KASIA,KASIA,B,podlaskie,Poland
273,2016-07-02,B0 KAWKA,KAWKA,B,podlaskie,Poland
274,2019-06-14,B0 KD01,KD01,B,podlaskie,Poland
275,2016-09-14,B0 KELLY,KELLY,B,podlaskie,Poland
276,2016-07-18,B0 KEY,KEY,B,podlaskie,Poland
277,2019-07-12,B0 KGM77,KGM77,B,podlaskie,Poland
278,2016-04-03,B0 KIEM,KIEM,B,podlaskie,Poland
279,2018-08-31,B0 KINIA,KINIA,B,podlaskie,Poland
280,2019-08-20,B0 KINZU,KINZU,B,podlaskie,Poland
281,2013-09-30,B0 KKW,KKW,B,podlaskie,Poland
282,2016-09-20,B0 KOCUR,KOCUR,B,podlaskie,Poland
283,2017-01-03,B0 KOGUT,KOGUT,B,podlaskie,Poland
284,2011-11-30,B0 KOKU,KOKU,B,podlaskie,Poland
285,2017-06-09,B0 KOL1,KOL1,B,podlaskie,Poland
286,2007-10-02,B0 KOLNO,KOLNO,B,podlaskie,Poland
287,2007-06-15,B0 KOMAR,KOMAR,B,podlaskie,Poland
288,2012-08-06,B0 KORA,KORA,B,podlaskie,Poland
289,2004-02-18,B0 KORAL,KORAL,B,podlaskie,Poland
290,2018-05-31,B0 KOSMO,KOSMO,B,podlaskie,Poland
291,2015-12-09,B0 KR77,KR77,B,podlaskie,Poland
292,2011-04-29,B0 KRB,KRB,B,podlaskie,Poland
293,2007-04-27,B0 KRIS,KRIS,B,podlaskie,Poland
294,2006-12-25,B0 KRK,KRK,B,podlaskie,Poland
295,2017-05-14,B0 KROLM,KROLM,B,podlaskie,Poland
296,2017-10-13,B0 KRZYS,KRZYS,B,podlaskie,Poland
297,2011-03-30,B0 KUBAL,KUBAL,B,podlaskie,Poland
298,2019-02-14,B0 KXKXK,KXKXK,B,podlaskie,Poland
299,2017-10-29,B0 KZS22,KZS22,B,podlaskie,Poland
300,2013-04-09,B0 LA01,LA01,B,podlaskie,Poland
301,2015-04-29,B0 LAMI9,LAMI9,B,podlaskie,Poland
302,2009-04-13,B0 LARRY,LARRY,B,podlaskie,Poland
303,2009-05-04,B0 LAZAR,LAZAR,B,podlaskie,Poland
304,2014-03-26,B0 LECH,LECH,B,podlaskie,Poland
305,2012-02-26,B0 LECHU,LECHU,B,podlaskie,Poland
306,2016-07-02,B0 LELY,LELY,B,podlaskie,Poland
307,2019-08-22,B0 LEON,LEON,B,podlaskie,Poland
308,2019-04-05,B0 LEV,LEV,B,podlaskie,Poland
309,2010-06-06,B0 LEW,LEW,B,podlaskie,Poland
310,2011-09-01,B0 LEWAR,LEWAR,B,podlaskie,Poland
311,2015-10-04,B0 LEXUS,LEXUS,B,podlaskie,Poland
312,2008-04-09,B0 LINY,LINY,B,podlaskie,Poland
313,2010-10-16,B0 LIZAK,LIZAK,B,podlaskie,Poland
314,2018-07-16,B0 LODY,LODY,B,podlaskie,Poland
315,2016-07-20,B0 LOR,LOR,B,podlaskie,Poland
316,2013-10-02,B0 LOVE,LOVE,B,podlaskie,Poland
317,2015-06-27,B0 LUBIE,LUBIE,B,podlaskie,Poland
318,2008-11-15,B0 LUIZA,LUIZA,B,podlaskie,Poland
319,2010-05-21,B0 LUKA,LUKA,B,podlaskie,Poland
320,2010-07-29,B0 LUKAS,LUKAS,B,podlaskie,Poland
321,2019-05-30,B0 LUKI,LUKI,B,podlaskie,Poland
322,2017-10-10,B0 LUSIA,LUSIA,B,podlaskie,Poland
323,2017-05-14,B0 LYSY,LYSY,B,podlaskie,Poland
324,2005-07-07,B0 MAGDA,MAGDA,B,podlaskie,Poland
325,2015-05-15,B0 MAGIC,MAGIC,B,podlaskie,Poland
326,2006-07-04,B0 MAK,MAK,B,podlaskie,Poland
327,2017-08-20,B0 MAKS,MAKS,B,podlaskie,Poland
328,2005-11-20,B0 MAKS2,MAKS2,B,podlaskie,Poland
329,2011-12-12,B0 MALIN,MALIN,B,podlaskie,Poland
330,2019-06-11,B0 MAN,MAN,B,podlaskie,Poland
331,2016-09-05,B0 MAP,MAP,B,podlaskie,Poland
332,2016-09-16,B0 MAP2,MAP2,B,podlaskie,Poland
333,2015-02-20,B0 MAPEI,MAPEI,B,podlaskie,Poland
334,2005-05-25,B0 MARGO,MARGO,B,podlaskie,Poland
335,2007-10-04,B0 MARIO,MARIO,B,podlaskie,Poland
336,2014-11-15,B0 MATI,MATI,B,podlaskie,Poland
337,2011-08-31,B0 MAUTO,MAUTO,B,podlaskie,Poland
338,2005-07-19,B0 MAXIM,MAXIM,B,podlaskie,Poland
339,2011-03-26,B0 MBRAT,MBRAT,B,podlaskie,Poland
340,2009-10-17,B0 MCY,MCY,B,podlaskie,Poland
341,2018-12-04,B0 MEBLE,MEBLE,B,podlaskie,Poland
342,2011-04-26,B0 MED,MED,B,podlaskie,Poland
343,2012-10-07,B0 MED1,MED1,B,podlaskie,Poland
344,2007-08-24,B0 MEGA,MEGA,B,podlaskie,Poland
345,2009-05-28,B0 MERX,MERX,B,podlaskie,Poland
346,2019-05-03,B0 MESS,MESS,B,podlaskie,Poland
347,2010-08-01,B0 MI28,MI28,B,podlaskie,Poland
348,2006-05-09,B0 MIKI,MIKI,B,podlaskie,Poland
349,2018-05-04,B0 MIKO,MIKO,B,podlaskie,Poland
350,2017-09-24,B0 MILAN,MILAN,B,podlaskie,Poland
351,2015-03-01,B0 MIM,MIM,B,podlaskie,Poland
352,2008-07-17,B0 MIRAS,MIRAS,B,podlaskie,Poland
353,2009-04-14,B0 MIREK,MIREK,B,podlaskie,Poland
354,2004-09-02,B0 MISIO,MISIO,B,podlaskie,Poland
355,2010-06-18,B0 MISIU,MISIU,B,podlaskie,Poland
356,2017-09-22,B0 MJM,MJM,B,podlaskie,Poland
357,2012-02-22,B0 ML1,ML1,B,podlaskie,Poland
358,2018-03-31,B0 MLEKO,MLEKO,B,podlaskie,Poland
359,2009-07-12,B0 MONA,MONA,B,podlaskie,Poland
360,2005-04-23,B0 MONIA,MONIA,B,podlaskie,Poland
361,2017-06-29,B0 MOORE,MOORE,B,podlaskie,Poland
362,2007-04-01,B0 MOTOR,MOTOR,B,podlaskie,Poland
363,2004-06-06,B0 MSG,MSG,B,podlaskie,Poland
364,2011-08-30,B0 MT01,MT01,B,podlaskie,Poland
365,2008-12-15,B0 MTC1,MTC1,B,podlaskie,Poland
366,2007-09-28,B0 MULTI,MULTI,B,podlaskie,Poland
367,2011-07-15,B0 MUSIC,MUSIC,B,podlaskie,Poland
368,2016-07-10,B0 MX01,MX01,B,podlaskie,Poland
369,2016-07-21,B0 MX02,MX02,B,podlaskie,Poland
370,2016-07-21,B0 MX03,MX03,B,podlaskie,Poland
371,2016-07-23,B0 MX04,MX04,B,podlaskie,Poland
372,2016-07-25,B0 MX05,MX05,B,podlaskie,Poland
373,2019-07-24,B0 MX1,MX1,B,podlaskie,Poland
374,2015-08-06,B0 NAGAZ,NAGAZ,B,podlaskie,Poland
375,2016-06-02,B0 NAJ3,NAJ3,B,podlaskie,Poland
376,2016-07-13,B0 NANO1,NANO1,B,podlaskie,Poland
377,2012-09-09,B0 NATKA,NATKA,B,podlaskie,Poland
378,2013-09-19,B0 NAVI,NAVI,B,podlaskie,Poland
379,2015-01-04,B0 NDF,NDF,B,podlaskie,Poland
380,2015-10-25,B0 NEVEX,NEVEX,B,podlaskie,Poland
381,2017-03-28,B0 NEXEN,NEXEN,B,podlaskie,Poland
382,2014-04-18,B0 NIBE,NIBE,B,podlaskie,Poland
383,2003-06-16,B0 NIE,NIE,B,podlaskie,Poland
384,2016-10-06,B0 NIKA,NIKA,B,podlaskie,Poland
385,2016-12-12,B0 NINA,NINA,B,podlaskie,Poland
386,2016-09-30,B0 NITA,NITA,B,podlaskie,Poland
387,2016-07-17,B0 NKD58,NKD58,B,podlaskie,Poland
388,2006-03-31,B0 NORTH,NORTH,B,podlaskie,Poland
389,2009-10-05,B0 NUREK,NUREK,B,podlaskie,Poland
390,2018-07-26,B0 NZOO,NZOO,B,podlaskie,Poland
391,2019-05-02,B0 OKNA,OKNA,B,podlaskie,Poland
392,2012-11-18,B0 OKON,OKON,B,podlaskie,Poland
393,2016-04-25,B0 OLALA,OLALA,B,podlaskie,Poland
394,2015-07-02,B0 OLGA,OLGA,B,podlaskie,Poland
395,2019-03-07,B0 OLI,OLI,B,podlaskie,Poland
396,2013-03-02,B0 OLMET,OLMET,B,podlaskie,Poland
397,2016-03-11,B0 OLSEN,OLSEN,B,podlaskie,Poland
398,2018-08-28,B0 OM88,OM88,B,podlaskie,Poland
399,2014-02-14,B0 OMEGA,OMEGA,B,podlaskie,Poland
400,2011-01-09,B0 OMG,OMG,B,podlaskie,Poland
401,2018-11-09,B0 OOO13,OOO13,B,podlaskie,Poland
402,2015-03-07,B0 OOOO,OOOO,B,podlaskie,Poland
403,2017-05-07,B0 OOOO7,OOOO7,B,podlaskie,Poland
404,2015-03-07,B0 OOOOO,OOOOO,B,podlaskie,Poland
405,2016-08-22,B0 ORCAL,ORCAL,B,podlaskie,Poland
406,2017-10-30,B0 OSTRY,OSTRY,B,podlaskie,Poland
407,2018-08-27,B0 OXON,OXON,B,podlaskie,Poland
408,2019-05-15,B0 OZEON,OZEON,B,podlaskie,Poland
409,2019-08-04,B0 PACO,PACO,B,podlaskie,Poland
