,distance,consumption,status,type
130,111746,16,used,truck
131,256304,1,old,electric
132,23003,8,young,car
133,131426,4,used,car
134,135096,7,used,car
135,251382,6,old,car
136,250527,1,old,electric
137,227965,8,used,car
138,281457,5,old,car
139,30533,10,young,car
140,239453,10,used,car
141,7964,12,young,truck
142,27761,0,young,electric
143,103145,9,used,car
144,288904,17,old,truck
145,44527,17,young,truck
146,26400,1,young,electric
147,170276,10,used,car
148,170326,15,used,truck
149,81219,0,young,electric
150,281546,9,old,car
151,49088,18,young,truck
152,152412,14,used,truck
153,273189,6,old,car
154,28860,19,young,truck
155,94748,2,young,car
156,100351,9,used,car
157,102675,15,used,truck
158,265803,5,old,car
159,138585,3,used,car
160,33264,13,young,truck
161,226774,5,used,car
162,67431,19,young,truck
163,220948,14,used,truck
164,266042,3,old,car
165,240025,12,used,truck
166,195245,17,used,truck
167,85090,3,young,car
168,43516,1,young,electric
169,248405,4,used,car
170,219089,2,used,car
171,32965,12,young,truck
172,105101,14,used,truck
173,250184,15,old,truck
174,212369,15,used,truck
175,18505,5,young,car
176,145017,13,used,truck
177,16542,13,young,truck
178,174612,12,used,truck
179,265460,6,old,car
180,133676,12,used,truck
181,81581,18,young,truck
182,283507,7,old,car
183,274110,5,old,car
184,172502,3,used,car
185,216510,6,used,car
186,14887,2,young,car
187,24078,3,young,car
188,93658,1,young,electric
189,93772,11,young,truck
190,183311,7,used,car
191,253524,6,old,car
192,208908,17,used,truck
193,191389,12,used,truck
194,53495,5,young,car
195,58175,0,young,electric
196,127862,10,used,car
197,216289,8,used,car
198,18069,5,young,car
199,101988,14,used,truck
200,15759,4,young,car
201,45919,7,young,car
202,128061,12,used,truck
203,267704,13,old,truck
204,142525,0,used,electric
205,134962,12,used,truck
206,250834,17,old,truck
207,196771,2,used,car
208,193737,14,used,truck
209,275784,17,old,truck
210,272198,7,old,car
211,256024,5,old,car
212,293406,6,old,car
213,280167,17,old,truck
214,111417,11,used,truck
215,185152,7,used,car
216,168266,1,used,electric
217,5375,12,young,truck
218,84059,6,young,car
219,107341,2,used,car
220,229384,15,used,truck
221,225754,12,used,truck
222,140860,17,used,truck
223,93516,3,young,car
224,144307,4,used,car
225,39428,11,young,truck
226,79892,12,young,truck
227,112483,15,used,truck
228,13457,7,young,car
229,33503,13,young,truck
230,244296,3,used,car
231,299040,13,old,truck
232,115991,17,used,truck
233,230705,8,used,car
234,102475,11,used,truck
235,269166,8,old,car
236,6080,16,young,truck
237,105187,8,used,car
238,12405,17,young,truck
239,203296,12,used,truck
240,274778,1,old,electric
241,185588,15,used,truck
242,77794,19,young,truck
243,213585,18,used,truck
244,230954,12,used,truck
245,200993,19,used,truck
246,297163,17,old,truck
247,113580,4,used,car
248,55932,5,young,car
249,94657,10,young,car
250,198735,1,used,electric
251,186669,15,used,truck
252,134325,10,used,car
253,197232,15,used,truck
254,100295,9,used,car
255,146677,9,used,car
256,268580,4,old,car
257,289152,15,old,truck
258,289172,19,old,truck
259,157911,1,used,electric
260,173304,5,used,car
261,197533,17,used,truck
262,126144,0,used,electric
263,221704,13,used,truck
264,219572,1,used,electric
265,31526,7,young,car
266,65276,15,young,truck
267,71930,15,young,truck
268,28593,6,young,car
269,245616,2,used,car
270,161847,16,used,truck
271,822,6,young,car
272,123818,16,used,truck
273,152517,19,used,truck
274,109696,17,used,truck
275,137155,5,used,car
276,78015,8,young,car
277,268015,6,old,car
278,227174,0,used,electric
279,98153,6,young,car
280,281599,1,old,electric
281,125613,4,used,car
282,185738,10,used,car
283,9864,19,young,truck
284,144910,17,used,truck
285,146496,13,used,truck
286,280603,5,old,car
287,216781,4,used,car
288,34485,3,young,car
289,250121,5,old,car
290,211179,19,used,truck
291,209362,11,used,truck
292,200895,10,used,car
293,136439,18,used,truck
294,146815,2,used,car
295,11468,2,young,car
296,149079,19,used,truck
297,181162,15,used,truck
298,232472,1,used,electric
299,146401,5,used,car
300,7498,16,young,truck
301,115551,2,used,car
302,58748,8,young,car
303,183590,3,used,car
304,222438,3,used,car
305,79477,4,young,car
306,197982,12,used,truck
307,153688,8,used,car
308,123837,9,used,car
309,221877,0,used,electric
310,49279,17,young,truck
311,165246,1,used,electric
312,274889,1,old,electric
313,35844,0,young,electric
314,153729,2,used,car
315,288553,10,old,car
316,154548,15,used,truck
317,47490,19,young,truck
318,68015,1,young,electric
319,154351,5,used,car
320,39032,2,young,car
321,183781,2,used,car
322,236011,3,used,car
323,169064,3,used,car
324,154029,16,used,truck
325,27387,0,young,electric
326,25793,1,young,electric
327,296665,18,old,truck
328,247726,13,used,truck
329,2393,13,young,truck
330,147844,3,used,car
331,179453,18,used,truck
332,112878,18,used,truck
333,232811,14,used,truck
334,185878,1,used,electric
335,231374,8,used,car
336,187721,6,used,car
337,248526,10,used,car
338,4830,17,young,truck
339,240612,10,used,car
340,223161,11,used,truck
341,162615,17,used,truck
342,86402,1,young,electric
343,67558,13,young,truck
344,124080,13,used,truck
345,273081,4,old,car
346,132957,5,used,car
347,273230,16,old,truck
348,167421,3,used,car
349,202918,9,used,car
350,83538,7,young,car
351,259524,0,old,electric
352,245274,13,used,truck
353,126239,12,used,truck
354,173395,6,used,car
355,109021,12,used,truck
356,104681,13,used,truck
357,242827,8,used,car
358,4433,2,young,car
359,285521,1,old,electric
360,55612,19,young,truck
361,133229,11,used,truck
362,246061,2,used,car
363,237011,15,used,truck
364,86942,6,young,car
365,20636,5,young,car
366,263342,4,old,car
367,252843,13,old,truck
368,297404,1,old,electric
369,284654,10,old,car
370,137399,9,used,car
371,15217,5,young,car
372,114160,6,used,car
373,120340,7,used,car
374,228336,1,used,electric
375,20441,4,young,car
376,711,7,young,car
377,197812,17,used,truck
378,41350,17,young,truck
379,156870,7,used,car
380,246938,1,used,electric
381,162403,13,used,truck
382,102550,11,used,truck
383,137699,0,used,electric
384,67707,16,young,truck
385,143281,8,used,car
386,110137,3,used,car
387,36232,8,young,car
388,65795,17,young,truck
389,287076,10,old,car
390,189417,18,used,truck
391,167061,15,used,truck
392,251039,18,old,truck
393,170422,7,used,car
394,230036,7,used,car
395,78541,19,young,truck
396,224999,13,used,truck
397,119289,15,used,truck
398,189505,13,used,truck
399,30666,13,young,truck
400,90044,19,young,truck
401,206854,17,used,truck
402,277180,8,old,car
403,76778,10,young,car
404,188698,9,used,car
405,262388,8,old,car
406,128694,3,used,car
407,167161,2,used,car
408,252775,4,old,car
409,52427,19,young,truck
410,235730,8,used,car
411,135991,0,used,electric
412,237727,6,used,car
413,50379,1,young,electric
414,147882,19,used,truck
415,28048,1,young,electric
416,150230,12,used,truck
417,34990,8,young,car
418,18669,3,young,car
419,242182,12,used,truck
420,87955,17,young,truck
421,261250,11,old,truck
422,29676,18,young,truck
423,264641,3,old,car
424,213230,2,used,car
425,297266,3,old,car
426,99746,8,young,car
427,144359,9,used,car
428,29286,10,young,car
429,8723,17,young,truck
430,235564,2,used,car
431,244035,3,used,car
432,276929,12,old,truck
433,235438,4,used,car
434,101725,19,used,truck
435,104788,1,used,electric
436,63840,13,young,truck
437,280746,15,old,truck
438,186154,1,used,electric
439,145862,12,used,truck
440,150720,1,used,electric
441,57488,8,young,car
442,166663,4,used,car
443,100711,11,used,truck
444,29188,4,young,car
445,192390,10,used,car
446,57852,8,young,car
447,28680,12,young,truck
448,166861,10,used,car
449,273266,14,old,truck
450,69503,0,young,electric
451,212315,8,used,car
452,70434,10,young,car
453,114733,19,used,truck
454,281541,14,old,truck
455,221577,16,used,truck
456,35500,12,young,truck
457,181821,14,used,truck
458,110667,1,used,electric
459,72365,8,young,car
460,45824,6,young,car
461,46683,2,young,car
462,118316,17,used,truck
463,93230,15,young,truck
464,28111,11,young,truck
465,111742,11,used,truck
466,214246,14,used,truck
467,68100,17,young,truck
468,105734,19,used,truck
469,27150,9,young,car
470,94318,1,young,electric
471,2225,18,young,truck
472,169340,16,used,truck
473,135873,4,used,car
474,117770,13,used,truck
475,25412,9,young,car
476,123736,18,used,truck
477,274947,5,old,car
478,115129,12,used,truck
479,95362,9,young,car
480,22149,4,young,car
481,232614,1,used,electric
482,293250,10,old,car
483,110479,1,used,electric
484,157809,7,used,car
485,270452,16,old,truck
486,67729,1,young,electric
487,14184,3,young,car
488,266459,19,old,truck
489,178290,5,used,car
490,75667,0,young,electric
491,97187,12,young,truck
492,174751,1,used,electric
493,182085,18,used,truck
494,81390,7,young,car
495,164410,4,used,car
496,26505,11,young,truck
497,109363,17,used,truck
498,200711,19,used,truck
499,228072,0,used,electric
500,72192,12,young,truck
501,252448,8,old,car
502,85197,8,young,car
503,228670,12,used,truck
504,217786,16,used,truck
505,34944,10,young,car
506,81601,12,young,truck
507,3303,12,young,truck
508,56061,18,young,truck
509,28805,16,young,truck
510,243295,6,used,car
511,156386,19,used,truck
512,168374,5,used,car
513,243461,6,used,car
514,67846,12,young,truck
515,99481,4,young,car
516,4077,14,young,truck
517,243340,6,used,car
518,101310,17,used,truck
519,132871,16,used,truck
520,65178,11,young,truck
521,127007,9,used,car
522,237290,0,used,electric
523,176673,10,used,car
524,297324,9,old,car
525,83288,5,young,car
526,295080,14,old,truck
527,189342,6,used,car
528,163639,5,used,car
529,270121,14,old,truck
530,116673,18,used,truck
531,70205,9,young,car
532,110476,0,used,electric
533,2942,4,young,car
534,217860,13,used,truck
535,123706,0,used,electric
536,199888,16,used,truck
537,118991,11,used,truck
538,222104,11,used,truck
539,115674,15,used,truck
540,276362,7,old,car
541,6715,19,young,truck
542,12966,5,young,car
543,131593,9,used,car
544,203484,12,used,truck
545,147394,3,used,car
546,166508,10,used,car
547,211623,9,used,car
548,194118,18,used,truck
549,32587,2,young,car
550,215499,1,used,electric
551,21211,2,young,car
552,291579,9,old,car
553,152227,13,used,truck
554,56473,0,young,electric
555,71156,12,young,truck
556,295434,11,old,truck
557,211807,15,used,truck
558,78404,13,young,truck
559,238334,3,used,car
560,74643,5,young,car
561,226032,17,used,truck
562,9021,5,young,car
563,276942,11,old,truck
564,13095,11,young,truck
565,29539,0,young,electric
566,43017,17,young,truck
567,25765,3,young,car
568,107473,17,used,truck
569,219218,15,used,truck
570,92015,6,young,car
571,147710,2,used,car
572,146081,17,used,truck
573,269014,3,old,car
574,294022,15,old,truck
575,69258,3,young,car
576,133850,2,used,car
577,26281,9,young,car
578,115575,8,used,car
579,224261,9,used,car
580,101584,10,used,car
581,114275,17,used,truck
582,18024,9,young,car
583,139077,1,used,electric
584,123905,11,used,truck
585,255959,2,old,car
586,239817,6,used,car
587,219932,19,used,truck
588,251630,5,old,car
589,163964,14,used,truck
590,215324,18,used,truck
591,46235,2,young,car
592,146315,15,used,truck
593,267700,4,old,car
594,80250,3,young,car
595,42602,18,young,truck
596,82539,17,young,truck
597,284634,15,old,truck
598,199653,13,used,truck
599,244480,1,used,electric
600,209586,15,used,truck
601,160070,18,used,truck
602,25555,17,young,truck
603,121406,12,used,truck
604,198563,10,used,car
605,252217,18,old,truck
606,134211,14,used,truck
607,70589,1,young,electric
608,80563,8,young,car
609,188127,4,used,car
610,252168,5,old,car
611,261754,11,old,truck
612,111836,3,used,car
613,161594,3,used,car
614,63731,17,young,truck
615,144789,6,used,car
616,268861,3,old,car
617,32210,11,young,truck
618,209512,11,used,truck
619,35919,2,young,car
620,171910,7,used,car
621,189937,11,used,truck
622,161275,5,used,car
623,243672,4,used,car
624,113064,14,used,truck
625,287492,11,old,truck
626,67218,3,young,car
627,232037,12,used,truck
628,243312,9,used,car
629,30871,2,young,car
630,26144,16,young,truck
631,122977,6,used,car
632,135063,15,used,truck
633,116141,4,used,car
634,83953,4,young,car
635,79738,15,young,truck
636,231558,10,used,car
637,297118,15,old,truck
638,118461,15,used,truck
639,42594,18,young,truck
640,127523,3,used,car
641,171618,18,used,truck
642,169866,4,used,car
643,85694,5,young,car
644,2813,17,young,truck
645,268106,6,old,car
646,179170,5,used,car
647,87981,16,young,truck
648,88922,5,young,car
649,53035,4,young,car
650,103948,7,used,car
651,122823,7,used,car
652,99231,3,young,car
653,179540,18,used,truck
654,170436,17,used,truck
655,210811,13,used,truck
656,141051,7,used,car
657,99662,16,young,truck
658,47241,9,young,car
659,249558,6,used,car
660,113188,12,used,truck
661,194450,11,used,truck
662,259012,11,old,truck
663,204730,17,used,truck
664,137368,3,used,car
665,51084,1,young,electric
666,166856,16,used,truck
667,235131,0,used,electric
668,167709,19,used,truck
669,236870,17,used,truck
670,136727,14,used,truck
671,207223,7,used,car
672,229798,6,used,car
673,74568,16,young,truck
674,227952,19,used,truck
675,250555,3,old,car
676,272484,15,old,truck
677,144375,12,used,truck
678,4420,7,young,car
679,131339,2,used,car
680,186090,13,used,truck
681,131736,1,used,electric
682,155043,7,used,car
683,124352,11,used,truck
684,231848,19,used,truck
685,132936,14,used,truck
686,59403,9,young,car
687,129068,11,used,truck
688,39138,7,young,car
689,205074,14,used,truck
690,67839,4,young,car
691,125282,9,used,car
692,106840,10,used,car
693,40167,0,young,electric
694,277932,16,old,truck
695,254109,15,old,truck
696,269272,0,old,electric
697,145706,7,used,car
698,170532,11,used,truck
699,14051,13,young,truck
700,83270,9,young,car
701,283554,14,old,truck
702,165735,11,used,truck
703,90338,10,young,car
704,145577,9,used,car
705,64157,0,young,electric
706,108897,10,used,car
707,189578,8,used,car
708,265450,13,old,truck
709,202930,19,used,truck
710,175474,13,used,truck
711,248616,5,used,car
712,6191,10,young,car
713,212266,0,used,electric
714,290634,10,old,car
715,165847,8,used,car
716,57879,7,young,car
717,179991,4,used,car
718,233422,18,used,truck
719,1405,7,young,car
720,165877,18,used,truck
721,61027,11,young,truck
722,188494,7,used,car
723,193420,2,used,car
724,40377,8,young,car
725,215879,3,used,car
726,209189,9,used,car
727,156917,2,used,car
728,124767,0,used,electric
729,96117,1,young,electric
730,264965,4,old,car
731,290175,3,old,car
732,30606,5,young,car
733,270603,3,old,car
734,44638,13,young,truck
735,296521,1,old,electric
736,264457,11,old,truck
737,226160,11,used,truck
738,104731,7,used,car
739,206041,18,used,truck
740,50776,16,young,truck
741,200150,1,used,electric
742,187966,14,used,truck
743,43779,11,young,truck
744,208615,3,used,car
745,104998,15,used,truck
746,179977,15,used,truck
747,198245,17,used,truck
748,188916,15,used,truck
749,243343,19,used,truck
750,263745,0,old,electric
751,288097,5,old,car
752,276892,5,old,car
753,136009,17,used,truck
754,160224,1,used,electric
755,91460,11,young,truck
756,259071,8,old,car
757,260711,19,old,truck
758,41000,9,young,car
759,245646,6,used,car
760,49051,9,young,car
761,154823,10,used,car
762,55614,16,young,truck
763,29303,1,young,electric
764,54425,8,young,car
765,192654,19,used,truck
766,195273,6,used,car
767,166324,11,used,truck
768,105638,3,used,car
769,260963,6,old,car
770,72280,18,young,truck
771,77104,14,young,truck
772,105622,19,used,truck
773,156136,4,used,car
774,58861,12,young,truck
775,58884,10,young,car
776,118233,10,used,car
777,182130,16,used,truck
778,292565,13,old,truck
779,276672,13,old,truck
780,123935,12,used,truck
781,33536,1,young,electric
782,102341,14,used,truck
783,21581,13,young,truck
784,230931,15,used,truck
785,253680,7,old,car
786,30736,17,young,truck
787,148606,3,used,car
788,77305,13,young,truck
789,228151,0,used,electric
790,292899,8,old,car
791,84962,9,young,car
792,230273,15,used,truck
793,119961,3,used,car
794,183195,14,used,truck
795,59230,13,young,truck
796,32047,11,young,truck
797,141667,6,used,car
798,82797,15,young,truck
799,142263,7,used,car
800,251621,9,old,car
801,61314,1,young,electric
802,281431,2,old,car
803,81601,18,young,truck
804,170728,16,used,truck
805,56922,8,young,car
806,34666,15,young,truck
807,77820,13,young,truck
808,124059,18,used,truck
809,65271,13,young,truck
810,200226,1,used,electric
811,128215,10,used,car
812,48609,6,young,car
813,176870,6,used,car
814,160964,3,used,car
815,10913,8,young,car
816,109070,0,used,electric
817,174908,2,used,car
818,294263,10,old,car
819,103710,12,used,truck
820,277519,11,old,truck
821,159918,7,used,car
822,56023,10,young,car
823,63922,1,young,electric
824,34465,18,young,truck
825,169579,17,used,truck
826,205033,15,used,truck
827,117948,18,used,truck
828,256814,13,old,truck
829,148648,19,used,truck
830,235000,8,used,car
831,64682,2,young,car
832,239496,15,used,truck
833,238077,10,used,car
834,163692,12,used,truck
835,156006,10,used,car
836,183619,4,used,car
837,21789,5,young,car
838,80529,8,young,car
839,209003,15,used,truck
840,58826,2,young,car
841,87931,0,young,electric
842,233344,6,used,car
843,171527,11,used,truck
844,99820,4,young,car
845,196772,18,used,truck
846,144322,9,used,car
847,98167,11,young,truck
848,268372,2,old,car
849,215274,8,used,car
850,265851,2,old,car
851,26152,18,young,truck
852,104924,19,used,truck
853,243968,19,used,truck
854,167605,4,used,car
855,231813,10,used,car
856,285769,10,old,car
857,135327,13,used,truck
858,263120,8,old,car
859,54347,1,young,electric
860,227401,3,used,car
861,34442,13,young,truck
862,65572,3,young,car
863,141112,14,used,truck
864,59154,1,young,electric
865,280133,11,old,truck
866,247871,1,used,electric
867,127336,18,used,truck
868,191290,6,used,car
869,200215,6,used,car
870,221409,13,used,truck
871,225769,5,used,car
872,243346,17,used,truck
873,117430,4,used,car
874,123143,6,used,car
875,100507,5,used,car
876,258806,4,old,car
877,155503,13,used,truck
878,97475,12,young,truck
879,87633,18,young,truck
880,115879,3,used,car
881,1239,3,young,car
882,67041,17,young,truck
883,261402,10,old,car
884,101303,0,used,electric
885,27109,19,young,truck
886,193544,8,used,car
887,122261,12,used,truck
888,84901,8,young,car
889,97514,5,young,car
890,151312,5,used,car
891,115807,7,used,car
892,263256,5,old,car
893,137182,17,used,truck
894,82036,7,young,car
895,263815,10,old,car
896,133065,10,used,car
897,192838,0,used,electric
898,244513,3,used,car
899,290172,18,old,truck
900,82821,7,young,car
901,143634,18,used,truck
902,89164,13,young,truck
903,83733,12,young,truck
904,110737,9,used,car
905,61235,17,young,truck
906,132136,12,used,truck
907,44491,3,young,car
908,75174,11,young,truck
909,107648,19,used,truck
910,31350,2,young,car
911,152187,8,used,car
912,16871,18,young,truck
913,47269,18,young,truck
914,175327,1,used,electric
915,174166,8,used,car
916,44664,0,young,electric
917,149467,8,used,car
918,28190,3,young,car
919,150188,7,used,car
920,2834,2,young,car
921,289690,3,old,car
922,295133,6,old,car
923,103064,5,used,car
924,202296,9,used,car
925,58239,14,young,truck
926,13571,10,young,car
927,91744,2,young,car
928,91866,6,young,car
929,131532,1,used,electric
930,262178,14,old,truck
931,223207,11,used,truck
932,152137,1,used,electric
933,198222,17,used,truck
934,267672,6,old,car
935,154787,19,used,truck
936,99695,13,young,truck
937,162988,5,used,car
938,77574,2,young,car
939,45315,4,young,car
940,136565,19,used,truck
941,48275,2,young,car
942,168786,8,used,car
943,220182,0,used,electric
944,207661,4,used,car
945,98199,9,young,car
946,182923,18,used,truck
947,118505,11,used,truck
948,30762,10,young,car
949,108762,3,used,car
950,170689,19,used,truck
951,212135,9,used,car
952,251702,3,old,car
953,69828,15,young,truck
954,20867,3,young,car
955,284135,8,old,car
956,53912,17,young,truck
957,616,12,young,truck
958,52219,17,young,truck
959,159867,12,used,truck
960,156563,6,used,car
961,203105,19,used,truck
962,69771,2,young,car
963,66497,7,young,car
964,129908,7,used,car
965,195534,17,used,truck
966,86899,1,young,electric
967,214685,15,used,truck
968,30892,9,young,car
969,187063,16,used,truck
970,177290,5,used,car
971,222534,1,used,electric
972,267878,7,old,car
973,148355,4,used,car
974,132998,19,used,truck
975,33071,18,young,truck
976,190345,5,used,car
977,75386,14,young,truck
978,117558,10,used,car
979,200178,16,used,truck
980,95777,13,young,truck
981,119857,13,used,truck
982,267668,7,old,car
983,208793,16,used,truck
984,253175,16,old,truck
985,113055,10,used,car
986,61774,2,young,car
987,237322,11,used,truck
988,4482,16,young,truck
989,147884,9,used,car
990,205329,19,used,truck
991,15356,12,young,truck
992,35368,2,young,car
993,235478,0,used,electric
994,13525,13,young,truck
995,61504,10,young,car
996,146361,16,used,truck
997,266852,10,old,car
998,299069,8,old,car
999,104588,13,used,truck
1000,241451,15,used,truck
1001,164270,4,used,car
1002,220197,18,used,truck
1003,169526,15,used,truck
1004,81254,9,young,car
1005,253580,17,old,truck
1006,279953,6,old,car
1007,89854,3,young,car
1008,284521,8,old,car
1009,215392,1,used,electric
1010,12080,17,young,truck
1011,201622,19,used,truck
1012,109216,9,used,car
1013,273330,17,old,truck
1014,137899,9,used,car
1015,228961,13,used,truck
1016,36472,19,young,truck
1017,245953,1,used,electric
1018,213026,12,used,truck
1019,224220,19,used,truck
1020,70979,4,young,car
1021,249461,11,used,truck
1022,235070,17,used,truck
1023,261626,3,old,car
1024,18739,10,young,car
1025,298169,1,old,electric
1026,217583,18,used,truck
1027,69519,5,young,car
1028,149939,6,used,car
1029,297887,11,old,truck
1030,3966,4,young,car
1031,202201,19,used,truck
1032,28441,18,young,truck
1033,191032,19,used,truck
1034,261429,10,old,car
1035,713,9,young,car
1036,117719,1,used,electric
1037,216567,0,used,electric
1038,172603,4,used,car
1039,146172,6,used,car
1040,242233,7,used,car
1041,285134,6,old,car
1042,283281,5,old,car
1043,109377,15,used,truck
1044,254007,16,old,truck
1045,126309,9,used,car
1046,217058,1,used,electric
1047,43014,6,young,car
1048,247298,10,used,car
1049,107542,15,used,truck
1050,293565,13,old,truck
1051,231419,12,used,truck
1052,121242,0,used,electric
1053,171868,1,used,electric
1054,287832,19,old,truck
1055,38214,11,young,truck
1056,87991,10,young,car
1057,135527,16,used,truck
1058,238277,12,used,truck
1059,134744,19,used,truck
1060,288816,5,old,car
1061,231102,3,used,car
1062,91625,14,young,truck
1063,41357,12,young,truck
1064,185660,17,used,truck
1065,116769,5,used,car
1066,208643,16,used,truck
1067,269562,6,old,car
1068,288420,0,old,electric
1069,258304,5,old,car
1070,290028,6,old,car
1071,98771,10,young,car
1072,236306,9,used,car
1073,117220,19,used,truck
1074,143966,7,used,car
1075,284215,8,old,car
1076,232504,11,used,truck
1077,209217,16,used,truck
1078,140716,2,used,car
1079,1881,10,young,car
1080,109721,10,used,car
1081,223434,13,used,truck
1082,182076,0,used,electric
1083,236482,12,used,truck
1084,265545,3,old,car
1085,113210,16,used,truck
1086,73770,10,young,car
1087,149071,10,used,car
1088,287252,5,old,car
1089,46468,1,young,electric
1090,197338,16,used,truck
1091,132305,2,used,car
1092,268280,11,old,truck
1093,132527,1,used,electric
1094,78015,11,young,truck
1095,289966,4,old,car
1096,208606,3,used,car
1097,284380,5,old,car
1098,248391,13,used,truck
1099,51379,11,young,truck
1100,245531,15,used,truck
1101,65738,15,young,truck
1102,10538,2,young,car
1103,211786,1,used,electric
1104,122731,15,used,truck
1105,97579,11,young,truck
1106,28037,12,young,truck
1107,249456,15,used,truck
1108,80086,0,young,electric
1109,37501,5,young,car
1110,112161,18,used,truck
1111,281467,13,old,truck
1112,88769,4,young,car
1113,111204,6,used,car
1114,91766,3,young,car
1115,137434,18,used,truck
1116,286921,14,old,truck
1117,115664,13,used,truck
1118,129392,11,used,truck
1119,45883,6,young,car
1120,272104,19,old,truck
1121,84189,2,young,car
1122,183432,5,used,car
1123,643,17,young,truck
1124,25312,19,young,truck
1125,36219,9,young,car
1126,170799,16,used,truck
1127,217049,15,used,truck
1128,12532,5,young,car
1129,8262,19,young,truck
1130,221914,5,used,car
1131,237859,19,used,truck
1132,3734,11,young,truck
1133,151077,16,used,truck
1134,299594,14,old,truck
1135,121349,14,used,truck
1136,287973,14,old,truck
1137,45199,14,young,truck
1138,202546,4,used,car
1139,282596,9,old,car
1140,25747,7,young,car
1141,50580,3,young,car
1142,205090,8,used,car
1143,195057,16,used,truck
1144,209743,12,used,truck
1145,99922,4,young,car
1146,3982,7,young,car
1147,265489,2,old,car
1148,228339,3,used,car
1149,181937,5,used,car
1150,50672,2,young,car
1151,252395,15,old,truck
1152,208358,0,used,electric
1153,40165,0,young,electric
1154,98347,8,young,car
1155,87765,6,young,car
1156,105975,19,used,truck
1157,265813,7,old,car
1158,206918,1,used,electric
1159,45148,2,young,car
1160,137663,15,used,truck
1161,70442,11,young,truck
1162,277354,0,old,electric
1163,204813,14,used,truck
1164,105846,13,used,truck
1165,242775,13,used,truck
1166,5026,10,young,car
1167,266785,2,old,car
1168,293569,18,old,truck
1169,25711,11,young,truck
1170,77323,6,young,car
1171,94363,18,young,truck
1172,286796,0,old,electric
1173,182588,4,used,car
1174,195157,5,used,car
1175,28247,16,young,truck
1176,245369,13,used,truck
1177,57151,0,young,electric
1178,82090,6,young,car
1179,19023,2,young,car
1180,10541,7,young,car
1181,194127,19,used,truck
1182,127281,14,used,truck
1183,73804,4,young,car
1184,135479,12,used,truck
1185,159451,3,used,car
1186,189615,17,used,truck
1187,6050,10,young,car
1188,94783,2,young,car
1189,72386,15,young,truck
1190,41621,19,young,truck
1191,121688,18,used,truck
1192,16013,13,young,truck
1193,92485,8,young,car
